amp,mun_name,New name,logo,Facebook ,Website,amp_name,cwt_name,area,area_name,cwt,mun,mun_tao_n,type,muni_code,reg,reg_name,tam,tam_name,tao,tao_code,tao_name,objectid,SHAPE__Len,SHAPE__Are,globalid,Column 1
1,เทศบาลตำบลแพรกษา,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmsuI9tW72D24vkLRXd7F-yUTeWBlGaPAT0Q&s,https://www.facebook.com/mungpraksa/?locale=th_TH,https://www.praksa.go.th/,เมืองสมุทรปราการ,สมุทรปราการ,1,ในเขตเทศบาล,11,992,เทศบาลตำบลแพรกษา,เทศบาลตำบล,111992,2,กลาง,10,แพรกษา,,,,2438,20275.2218,11263538.5,{6E23691C-FAA4-41E5-87F8-7986E212179B},
5,เทศบาลตำบลแพรกหา,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx1_KgMqMvyLFz06ldiCfjed2OraNuJo2Wdg&s,https://www.facebook.com/ThesbalTablPhaerkHa/,https://www.prakha.go.th/,ควนขนุน,พัทลุง,1,ในเขตเทศบาล,93,960,เทศบาลตำบลแพรกหา,เทศบาลตำบล,931960,3,ใต้,16,แพรกหา,,,,2323,22451.8731,19587138.13,{D81BD484-F5C5-4F88-865E-8D9F4AD74F45},
5,เทศบาลตำบลโพงาม,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlIDjR_hfJgJzH_-wR22euetqQ9N2zvKxLsw&s,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%9E%E0%B8%87%E0%B8%B2%E0%B8%A1-100041823409732/?locale=th_TH,https://www.phongam.go.th/,สรรคบุรี,ชัยนาท,1,ในเขตเทศบาล,18,975,เทศบาลตำบลโพงาม,เทศบาลตำบล,181975,2,กลาง,4,โพงาม,,,,154,45482.53511,45327726.72,{0C9BD196-DA84-496F-9E38-91D124A15471},
5,เทศบาลตำบลโพตลาดแก้ว,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR01gtZ1MDGQvFaFQCp7VHZ4ns7HJMC-osJDg&s,https://www.facebook.com/PotalatkaewLopburi/?locale=th_TH,https://www.potalatkaew.go.th/,ท่าวุ้ง,ลพบุรี,1,ในเขตเทศบาล,16,980,เทศบาลตำบลโพตลาดแก้ว,เทศบาลตำบล,161980,2,กลาง,3,โพตลาดแก้ว,,,,1689,25609.44743,20044806.53,{14129B87-9EF4-41D9-B4B9-83949E398BDB},
6,เทศบาลตำบลโพทะเล,,https://yt3.googleusercontent.com/ytc/AIdro_lZDS5VUE9qODpcRCnNmNaRsOlbxWiJO43zrv00mSdY_A=s900-c-k-c0x00ffffff-no-rj,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%9E%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5-Phothale-Municipality-100069375812457/?locale=th_TH,https://www.phothale.go.th/home,โพทะเล,พิจิตร,1,ในเขตเทศบาล,66,988,เทศบาลตำบลโพทะเล,เทศบาลตำบล,661988,7,เหนือ,1,โพทะเล,,,,2005,4269.068743,1056282.29,{614A7994-5788-40B4-B88A-053AB5A453C3},
8,เทศบาลตำบลโพธิ์กระสังข์,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkFqUUVWMu1JEnDCeION-Q6lT05oOEyGcZ9w&s,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%82%E0%B9%8C-100064063421144/,https://phokrasang.go.th/,ขุนหาญ,ศรีสะเกษ,1,ในเขตเทศบาล,33,985,เทศบาลตำบลโพธิ์กระสังข์,เทศบาลตำบล,331985,6,ตะวันออกเฉียงเหนือ,11,โพธิ์กระสังข์,,,,2230,32253.04066,52835687.07,{60FDBE48-2A90-4D42-9E9B-4381D78CC2E3},
1,เทศบาลตำบลโพธิ์กลาง,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThkYw5YSP0zfyfpfaJO2ZR2dgQuoof2x0z2A&s,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87-%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A-100057885060223/?locale=th_TH,https://www.phoklang.go.th/index.php,เมืองนครราชสีมา,นครราชสีมา,1,ในเขตเทศบาล,30,949,เทศบาลตำบลโพธิ์กลาง,เทศบาลตำบล,301949,6,ตะวันออกเฉียงเหนือ,2,โพธิ์กลาง,,,,1767,34426.52576,53135593.05,{498F02C7-D494-4FC8-9EA6-A48A4B5AB259},
7,เทศบาลตำบลโพธิ์งาม,,https://www.pho-ngam.go.th/index/add_file/Nn3lCu0Tue24148.png,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%87%E0%B8%B2%E0%B8%A1-100075916905223/?locale=th_TH,https://www.pho-ngam.go.th/,ประจันตคาม,ปราจีนบุรี,1,ในเขตเทศบาล,25,987,เทศบาลตำบลโพธิ์งาม,เทศบาลตำบล,251987,5,ตะวันออก,9,โพธิ์งาม,,,,1346,141628.2414,351196072.6,{CDE9081A-1DFB-445A-A565-1B90E6D9EF90},
6,เทศบาลตำบลโพธิ์ชัย,,https://phochai.go.th/index/add_file/3zusn0GThu20051.png,https://m.facebook.com/people/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%AD%E0%B8%B3%E0%B9%80%E0%B8%A0%E0%B8%AD%E0%B8%9E%E0%B8%99%E0%B8%A1%E0%B9%84%E0%B8%9E%E0%B8%A3-%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94/61562626965882/,https://phochai.go.th/,พนมไพร,ร้อยเอ็ด,1,ในเขตเทศบาล,45,975,เทศบาลตำบลโพธิ์ชัย,เทศบาลตำบล,451975,6,ตะวันออกเฉียงเหนือ,11,โพธิ์ชัย,,,,2037,35530.65585,38895475.77,{CE3D9EAA-C76C-41CF-AF59-194DABC27DC2},
1,เทศบาลตำบลโพธิ์ชัย,,https://lh5.googleusercontent.com/proxy/Qxwd8qHX-Zx9KaQJf6LGLF0-SNt54-QO1rPvbJbegkzm0hae3ur1gfbsljcGgg8JO8ALIz3u4rrs8rn6Kg,https://www.facebook.com/PhochaiNongkhai/?locale=th_TH,http://www.phochaink.go.th/frontpage/main,เมืองหนองคาย,หนองคาย,1,ในเขตเทศบาล,43,981,เทศบาลตำบลโพธิ์ชัย,เทศบาลตำบล,431981,6,ตะวันออกเฉียงเหนือ,3,โพธิ์ชัย,,,,979,28444.88529,33721666.33,{CA60D24D-8231-4C48-9C11-4C80C9E19D4E},
